stamp,lat,lon,alt
1756981205.4035199,37.5414752,127.0774879,40.252
1756981206.4138827,37.5414761,127.07749539999999,40.28
1756981207.4064856,37.541476599999996,127.077507,40.278
1756981208.4153993,37.5414769,127.07752029999999,40.264
1756981209.4006853,37.5414777,127.0775336,40.27
1756981210.416135,37.5414799,127.0775446,40.304
1756981211.4030619,37.5414864,127.0775527,40.293
1756981212.4144893,37.5414958,127.077559,40.263
1756981213.4101589,37.5415042,127.0775649,40.2
1756981214.41792,37.5415095,127.07757629999999,40.255
1756981215.4045594,37.5415103,127.07759,40.218
1756981216.4186409,37.5415095,127.0776035,40.229
1756981217.4050941,37.5415081,127.0776173,40.238
1756981218.422615,37.5415074,127.07763109999999,40.267
1756981219.4059615,37.5415059,127.0776451,40.284
1756981220.418359,37.5415042,127.0776583,40.268
1756981221.4045308,37.5415024,127.0776717,40.25
1756981222.4233387,37.5415002,127.07768519999999,40.246
1756981223.405438,37.5414975,127.07769839999999,40.261
1756981224.416099,37.5414949,127.07771179999999,40.282000000000004
1756981225.406394,37.5414919,127.0777258,40.278
1756981226.4307601,37.5414889,127.07774029999999,40.294000000000004
1756981227.4010854,37.541487,127.0777547,40.34
1756981228.4338694,37.5414854,127.0777688,40.361000000000004
1756981229.407151,37.541483899999996,127.07778309999999,40.36
1756981230.430406,37.5414831,127.0777974,40.365
1756981231.4097805,37.5414819,127.07781159999999,40.384
1756981232.433286,37.5414806,127.0778258,40.375
1756981233.4049323,37.5414788,127.07784,40.37
1756981234.4372854,37.541474199999996,127.0778526,40.347
1756981235.406359,37.5414673,127.077863,40.338
1756981236.4237254,37.541458999999996,127.0778713,40.374
1756981237.4063675,37.5414509,127.0778794,40.338
1756981238.4332016,37.5414414,127.0778857,40.326
1756981239.4067147,37.5414315,127.07789299999999,40.298
1756981240.4326081,37.5414217,127.0779001,40.319
1756981241.4077342,37.5414117,127.0779074,40.377
1756981242.4323404,37.5414023,127.07791519999999,40.32
1756981243.4071245,37.541392699999996,127.07792309999999,40.289
1756981244.4316475,37.5413827,127.07793129999999,40.357
1756981245.4009917,37.541374,127.07794059999999,40.324
1756981246.4350216,37.541366,127.0779512,40.249
1756981247.407281,37.541358599999995,127.0779623,40.249
1756981248.4267247,37.5413512,127.07797439999999,40.262
1756981249.4056952,37.5413429,127.0779865,40.229
1756981250.4326255,37.5413348,127.07799779999999,40.217
1756981251.4037275,37.5413271,127.07800549999999,40.286
